"filename", "language", "JSON", "YAML", "Dart", "HTML", "XML", "Properties", "Swift", "Markdown", "Groovy", "C++", "comment", "blank", "total"
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 11, 60
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 1, 42
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/database.rules.json", "JSON", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 116
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/firebase.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 20
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/InstallCACertificatePage.dart", "Dart", 0, 0, 327, 0, 0, 0, 0, 0, 0, 0, 52, 15, 394
